Gene	AD_genes
TG	0
ALDH7A1	0
NRAS	0
MTHFR	0
PAFAH1B1	0
FLT3	0
BTK	0
ZEB2	0
COL1A1	0
VCAN	0
ACADVL	0
FBN2	0
HNF1A	0
TRMU	0
BRAT1	0
EDA	0
BRCA2	0
SERPINC1	0
RHO	0
MYO3A	0
CDH23	0
DOK7	0
MPZ	0
ATRX	0
MYL2	0
KDM5C	0
DNMT3A	0
ASL	0
ADAR	0
PMS2	0
MEFV	0
TNNI3	0
THRB	0
GLI2	0
TUBB4A	0
EIF2B5	0
KANSL1	1
GLDC	0
AR	0
STXBP1	0
DNAAF1	0
PMP22	0
COL1A2	0
PLCB4	0
FBN1	0
ABL1	0
MYBPC3	0
HNF1B	0
GABRA1	0
ABCA4	0
KAT6B	0
BRCA1	0
NAGLU	0
MED12	0
BRAF	0
COL3A1	0
ACTG1	0
PALB2	0
ABCA12	0
GYS2	0
GLI3	0
ACADS	0
CDKN2A	0
SMARCA4	0
SPTA1	0
FASN	0
PRDM16	0
APC	0
APP	1
RPGR	0
COL7A1	0
MAP2K1	0
ARX	0
CFH	0
VHL	0
VPS13B	0
SYNE1	0
TPM1	0
TCOF1	0
ABCC8	0
PRPS1	0
ABCA1	0
ABCC9	0
CFTR	0
ANO5	0
MCPH1	0
FLT4	0
PNPLA6	0
COL5A2	0
NPHS1	0
DNM1	0
EPHA2	0
SCN2A	0
AARS2	0
MAP2K2	0
ELANE	0
PDHA1	0
CACNA1H	0
TUBB3	0
ERBB2	0
ADA	0
SYNE2	0
KCNJ2	0
STK11	0
NBN	0
CASR	0
GALT	0
GALC	0
SLC52A3	0
RAI1	0
KCNJ11	0
PKHD1	0
ACVRL1	0
TP63	0
FKRP	0
AGL	0
BEST1	0
RANBP2	0
COL5A1	0
PTEN	0
DNM2	0
SMARCA2	0
SCN10A	0
OCA2	0
PDGFRA	0
SCN5A	0
PHEX	0
HCN4	0
TTR	0
CLPB	0
MUT	0
GNAO1	0
PCNT	0
UMOD	0
DNAH5	0
TGFBR1	0
GBA	0
ATP1A3	0
HSPG2	0
SMC1A	0
EGFR	0
AFG3L2	0
WDR19	0
MSH2	0
PYGM	0
PURA	0
SLC6A5	0
TRDN	0
LOXHD1	0
GJB2	0
ATP1A2	0
APOB	0
G6PC	0
CTNNB1	1
RAD51D	0
ACTA1	0
SLC2A1	0
SPATA5	0
EP300	0
WHRN	0
COL2A1	0
MYH9	0
CBS	0
POLG	0
BRIP1	0
PDGFRB	0
POLE	0
RP1L1	0
SCN9A	0
DES	0
TUBB2B	0
EHMT1	0
WFS1	0
GDAP1	0
TRPV3	0
DYRK1A	0
COL4A5	0
TGFBR2	0
LPL	0
SLC12A3	0
TWNK	0
KCNT1	0
GFAP	0
PRKAG2	0
MTOR	0
HRAS	0
DSG2	0
CHD7	0
GJB1	0
COL4A4	0
FANCA	0
F5	0
BMPR2	0
MUSK	0
ACTB	0
PCDH19	0
MUTYH	0
MLH1	0
OTC	0
LDB3	0
AHI1	0
FGFR2	0
RELN	0
NOTCH1	0
ERCC6	0
ELN	0
BCKDHA	0
COL6A2	0
CHEK2	0
IDUA	0
PIEZO2	0
COL6A3	0
ENG	0
SLC4A1	0
PTCH1	0
CHD2	0
GARS	0
GNE	0
COL4A1	0
LAMC3	0
NF1	0
POLD1	0
TREM2	1
FGFR3	0
TYR	0
SOD1	0
GALNS	0
OAT	0
ALK	0
SH3TC2	0
SLC2A10	0
SCN8A	0
ATM	0
GLRA1	0
OTOG	0
TMEM67	0
FGFR1	0
EVC	0
COL4A3	0
NLRP12	0
COL18A1	0
BCKDHB	0
ALAS2	0
COL6A1	0
HMCN1	0
TNXB	0
SLC6A1	0
MSH6	0
PIEZO1	0
EBP	0
AGXT	0
FOXG1	0
COL4A2	0
GCDH	0
DNAH1	0
NOTCH3	1
GLB1	0
TRPV4	0
PCSK9	0
RIT1	0
PMM2	0
TMPRSS3	0
SMPD1	0
OTOF	0
MLH3	0
CRB1	0
SCN4A	0
ZNF469	0
FAT4	0
TMEM43	0
GNAS	0
CBL	0
STAT3	0
KBTBD13	0
ACTC1	0
FH	0
APOA1	1
SPG7	0
RARS2	0
TBX5	0
INS	0
RPS6KA3	0
MED13L	0
CC2D2A	0
SALL1	0
IL2RG	0
MECP2	0
WNK4	0
NALCN	0
NOD2	0
LRP4	0
RB1	0
LRP5	0
ABCD1	0
SGSH	0
MTM1	0
MYOM1	0
GCH1	0
LRPPRC	0
PAH	0
PLEC	0
LAMA4	0
HEXA	0
ASS1	0
CPT2	0
TSHZ1	0
SKI	0
KMT2A	0
CEP290	0
HMBS	0
RUNX1	0
AIFM1	0
IRF6	0
DYNC2H1	0
FANCI	0
OPA1	0
C5orf42	0
DNAH11	0
HSD17B4	0
POMT1	0
MYO7A	0
MYH11	0
CAV3	0
CDH1	0
SMAD4	0
RTTN	0
SH3BP2	0
SRD5A2	0
AKAP9	0
CYP11B1	0
ALMS1	0
HOGA1	0
GLA	0
ANK2	0
ALPL	0
CLCN1	1
TNNT2	0
MYH3	0
TTN	0
STAT1	0
TRPM1	0
BAG3	0
KIF1A	0
TSC2	0
KMT2D	0
SPAST	0
PC	0
MEN1	0
MYH7	0
RYR1	0
F8	0
SYNGAP1	0
NDP	0
PRNP	0
SPG11	0
PROC	0
MC4R	0
MYH14	0
LRP2	0
TPP1	0
L1CAM	0
IVD	0
IGHMBP2	0
HNF4A	0
GRIN2A	0
FBXL4	0
UBE3A	0
KCNB1	0
GJA1	0
GCK	0
SLX4	0
LAMA2	0
ITPR1	0
NEB	0
BARD1	0
AVPR2	0
COQ8A	0
F9	0
COL12A1	0
FANCM	0
FRAS1	0
PCDH15	0
ADSL	0
ASPM	0
MYH6	0
DYSF	0
MBD5	0
TCF4	0
SOS1	0
TSC1	0
CDK5RAP2	1
ATL1	0
COL10A1	0
HUWE1	0
PAX6	0
EZH2	0
RYR2	0
FARS2	0
MUC5B	0
PLA2G6	0
TYMP	0
TERT	0
SMCHD1	0
GAA	0
WNK1	0
RTEL1	0
ADGRV1	0
ANKRD11	0
DICER1	0
PLP1	0
GRIN2B	0
HPRT1	0
ZFYVE26	0
EYS	0
DNAH8	0
COMP	0
TTC21B	0
SPTBN2	0
RRM2B	0
PDE6B	0
F11	0
LDLR	0
RYR3	0
CSF1R	1
DSP	0
VWF	0
NIPBL	0
CDKL5	0
NPC1	0
CACNA1S	0
USH2A	0
ACAD9	0
SDHB	0
TECTA	0
PALLD	0
NEBL	0
CYBB	0
IDS	0
ARHGAP31	0
PRKN	0
MYO1A	0
FLNB	0
SERPINA1	0
AGRN	0
TBC1D24	0
ABCC6	0
FLNC	0
FYCO1	0
A2ML1	0
CHRNA1	0
TP53	0
BCS1L	0
ATP7B	0
SCN1B	0
CUBN	0
TSHR	0
SDHA	0
INPP5E	0
SETX	0
FLNA	0
PIK3CA	0
SRCAP	0
MAPT	1
KRT5	0
RET	0
SLC22A5	0
IFT140	0
CASK	0
PRKDC	0
KIT	0
RAF1	0
DYNC1H1	0
SLC19A3	0
PKP2	0
TGM1	0
CAPN3	0
GRIN1	0
PSEN1	1
SETBP1	0
INSR	0
LMNA	0
PTPN11	0
ATP7A	0
COL9A3	0
ACADM	0
INF2	0
DCX	0
SCN1A	0
CREBBP	0
DMD	0
CCDC114	0
SPTAN1	0
SDHD	0
HBB	0
RBM20	0
TJP2	0
GATA4	0
SGCA	0
NSD1	0
BTD	0
FREM1	0
LHCGR	0
PRPH2	0
CHAT	0
RAG1	0
KLHL3	0
KCNQ2	0
COL11A1	0
KCNQ3	0
ARSB	0
JAG1	0
TRPS1	0
TRIOBP	0
SLC26A4	0
NPHP4	0
ADAMTS13	0
MYLK	0
OTOGL	0
CACNA1C	0
MET	0
DHCR7	0
CACNA1A	0
ARID1B	0
GBE1	0
SACS	0
ETFDH	0
RHBDF2	0
LYST	0
KRAS	0
TGM6	0
DDX3X	0
BIN1	1
RAG2	0
KCNQ1	0
NLRP3	0
COL11A2	0
ABCC2	0
TUBA1A	0
WDR62	0
HLCS	0
KRT2	0
WWOX	0
PRX	0
PKD1	0
MFN2	0
ARSA	0
KCNH2	0
CCDC40	0
MYO15A	0
IQSEC2	0
